Subject,Activity,AccMeanX,AccMeanY,AccMeanZ,AccStdX,AccStdY,AccStdZ,AccEnergyX,AccEnergyY,AccEnergyZ,GravAccMeanX,GravAccMeanY,GravAccMeanZ,GravAccStdX,GravAccStdY,GravAccStdZ,GravAccEnergyX,GravAccEnergyY,GravAccEnergyZ,AccJerkMeanX,AccJerkMeanY,AccJerkMeanZ,AccJerkStdX,AccJerkStdY,AccJerkStdZ,AccJerkEnergyX,AccJerkEnergyY,AccJerkEnergyZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroStdX,GyroStdY,GyroStdZ,GyroEnergyX,GyroEnergyY,GyroEnergyZ,GyroJerkMeanX,GyroJerkMeanY,GyroJerkMeanZ,GyroJerkStdX,GyroJerkStdY,GyroJerkStdZ
29,Standing,0.27645147,-0.013841808,-0.10621393,-0.99682584,-0.97904646,-0.98990195,-0.99998156,-0.9998166,-0.99981011,0.97501883,-0.11685156,-0.0042493948,-0.99782455,-0.98972898,-0.99307383,0.93028584,-0.98117292,-0.99980597,0.079074055,0.012982959,-0.004167472,-0.99257086,-0.98465507,-0.98977885,-0.99992183,-0.99973527,-0.99979737,-0.029957926,-0.073045962,0.085595187,-0.98459408,-0.99241293,-0.98731407,-0.99986235,-0.99995201,-0.99987356,-0.10209352,-0.040509822,-0.056233362,-0.98565994,-0.99483169,-0.9910945
15,Sitting,0.27917735,-0.018188984,-0.10834772,-0.99584803,-0.98405805,-0.99522499,-0.99997351,-0.99988853,-0.99992856,0.958319,0.10828579,-0.032819885,-0.9997081,-0.99423187,-0.99777537,0.88607031,-0.9691947,-0.99707823,0.068873288,0.0098716204,0.0031280234,-0.99418696,-0.98240875,-0.99276003,-0.99994336,-0.99967696,-0.99986709,-0.027147038,-0.07207997,0.07932251,-0.99824407,-0.99801932,-0.99330088,-0.99999592,-0.99999217,-0.99993282,-0.097545763,-0.04124463,-0.06431157,-0.99801666,-0.99822852,-0.99443202
25,Walking,0.29265199,-0.03215862,-0.11143048,-0.63623089,-0.18718407,-0.40756845,-0.93267836,-0.87120429,-0.83917593,0.96716491,-0.13411237,0.082708298,-0.99032109,-0.9867318,-0.96295834,0.90943176,-0.97401529,-0.98818665,0.033236629,0.14286213,-0.075270752,-0.68083804,-0.37075715,-0.68625866,-0.94732435,-0.79781462,-0.94686536,-0.1082044,-0.070276159,0.083847565,-0.48927805,-0.62597265,-0.65222224,-0.87664011,-0.93042628,-0.9431399,-0.27941717,-0.0292976,-0.073922072,-0.5486237,-0.83409093,-0.6991613
5,UpStairs,0.19850034,0.012283343,-0.15776059,-0.068719776,-0.026264133,-0.31293614,-0.56410805,-0.81492427,-0.78170572,0.91841169,-0.32816899,-0.02784128,-0.95805267,-0.94133913,-0.93527734,0.78256446,-0.81426543,-0.99759855,-0.10050353,0.23762007,0.054543414,-0.33878102,-0.17702949,-0.48942085,-0.77868027,-0.65653491,-0.86403183,-0.35384305,0.11297151,0.032015796,-0.57990973,-0.39157354,-0.31119396,-0.85100634,-0.81085711,-0.77862529,-0.1361932,0.034912103,0.12475372,-0.33266553,-0.60274359,-0.36531082
13,Standing,0.27694205,-0.01151486,-0.10280279,-0.99867178,-0.97171166,-0.98492645,-0.99999387,-0.99968251,-0.99964499,0.96177617,-0.17806044,0.10763878,-0.99886145,-0.98251946,-0.98723822,0.89518171,-0.95060527,-0.9794104,0.077100498,0.0066366324,-0.0037791069,-0.99808091,-0.9865139,-0.99139189,-0.99998506,-0.99977971,-0.99983619,-0.020739826,-0.07430107,0.093010779,-0.96548893,-0.98765346,-0.98579438,-0.99936853,-0.99989351,-0.99983154,-0.10692571,-0.040927956,-0.0530539,-0.98470295,-0.99627988,-0.99355291
28,Sitting,0.27955034,-0.019225518,-0.10420655,-0.99122063,-0.96357567,-0.96068937,-0.99992347,-0.99960049,-0.99873974,0.92366228,-0.30481733,-0.10937636,-0.99812969,-0.99829276,-0.9827662,0.79594635,-0.8413898,-0.97383309,0.070072155,0.023306764,-0.0054774181,-0.98416903,-0.96746817,-0.98339502,-0.99976745,-0.99916144,-0.99961859,-0.027710565,-0.076679787,0.089034639,-0.98972586,-0.96240915,-0.98538224,-0.99993455,-0.99920928,-0.99983877,-0.099126867,-0.027976531,-0.058641591,-0.98945464,-0.98036125,-0.98306997
24,Standing,0.28365263,-0.0073163168,-0.099825925,-0.99370142,-0.97476464,-0.97971379,-0.99994614,-0.99960842,-0.99942763,0.95371803,-0.17447321,-0.13826503,-0.99695368,-0.98552759,-0.99240603,0.87397904,-0.95280135,-0.95905318,0.07573436,0.012325586,0.021518445,-0.99168975,-0.98308001,-0.98968801,-0.99990897,-0.99969491,-0.99979442,-0.02707294,-0.058224341,0.067897566,-0.98442874,-0.98910402,-0.99042293,-0.99986285,-0.99986913,-0.99978726,-0.10799346,-0.037144616,-0.054153737,-0.99129004,-0.99455899,-0.9959666
29,Laying,0.27740026,-0.016683941,-0.10263957,-0.99157362,-0.99680929,-0.9974698,-0.99992879,-0.99998547,-0.99992105,-0.3007178,0.80041033,0.5953598,-0.99700082,-0.99869973,-0.98900801,-0.97220008,0.29236615,-0.31216822,0.070727204,0.012015454,-0.0065062876,-0.99020105,-0.9945433,-0.99509413,-0.99988534,-0.9999326,-0.99991555,-0.027340762,-0.074144685,0.084044828,-0.99804808,-0.99760289,-0.99561366,-0.99999535,-0.99999108,-0.99997111,-0.097110618,-0.04094191,-0.056039007,-0.99720185,-0.99836389,-0.99629906
20,Standing,0.28589089,-0.0087063878,-0.094392175,-0.8960972,-0.80303486,-0.6833363,-0.9941762,-0.99175854,-0.95162521,0.86544268,-0.42877615,0.078596765,-0.98661969,-0.97971754,-0.88712721,0.64952176,-0.67458173,-0.98890068,0.055438234,-0.010453915,-0.015959476,-0.8510357,-0.84637147,-0.88664114,-0.98798187,-0.98682875,-0.99199338,-0.0037203047,-0.088005843,0.083814521,-0.77893147,-0.49555801,-0.81996565,-0.97707663,-0.87387654,-0.98440047,-0.17106822,-0.036499976,-0.089855548,-0.83585033,-0.73842637,-0.90859637
2,Walking,0.24016527,0.014778169,-0.11018469,-0.50627382,-0.052029869,-0.50066472,-0.87655143,-0.82413553,-0.88461171,0.90677584,-0.3439022,0.14982503,-0.97721176,-0.97305708,-0.96101916,0.75285646,-0.79515243,-0.95880669,0.26498306,0.24112514,0.097057339,-0.46389809,0.016736788,-0.62719849,-0.85376942,-0.47814779,-0.92601318,0.037874847,-0.12683994,0.1489482,-0.59422685,-0.59001384,-0.51759018,-0.92185216,-0.9160367,-0.88986184,-0.27379691,-0.016840029,-0.18995732,-0.34971413,-0.63612339,-0.39390931
26,Sitting,0.27811232,-0.01787208,-0.10684602,-0.99628784,-0.98428245,-0.98525932,-0.99997759,-0.99989176,-0.99969568,0.93040539,0.11173325,0.22308993,-0.99488049,-0.98956565,-0.99213137,0.8133099,-0.96748567,-0.9064676,0.077337672,0.015410252,-0.0044585947,-0.99614953,-0.98910801,-0.99468648,-0.99996633,-0.99983606,-0.9999075,-0.054124813,-0.077778092,0.022343482,-0.9727184,-0.98660194,-0.94344408,-0.99916619,-0.99987549,-0.99672022,-0.078479884,-0.039718454,-0.014499609,-0.99660774,-0.99479735,-0.99462758
29,Walking,,-0.034984349,-0.13953313,-0.18490766,-0.11335481,-0.2214101,-0.66474679,-0.84696405,-0.72437654,0.96888311,-0.12922604,0.067461462,-0.97798475,-0.98351488,-0.96886143,0.91400303,-0.97615012,-0.99239385,-0.23532109,-0.2240143,-0.093647803,-0.21971517,-0.15672944,-0.37889004,-0.69258358,-0.63957844,-0.80077361,-0.028533054,-0.075330314,0.031881107,-0.56224363,-0.12307581,-0.48116847,-0.9123143,-0.62061385,-0.87337154,-0.22479922,0.30066757,0.07019864,-0.31736252,-0.54651234,-0.55473249
21,Sitting,0.27945901,-0.024453777,-0.093589115,-0.9909253,-0.96375456,-0.95204852,-0.99991964,-0.99951508,-0.99799212,0.97336017,-0.041103796,-0.092019542,-0.99695885,-0.98390582,-0.96684592,0.9258716,-0.99896027,-0.98109613,0.078835502,0.0076015283,0.011140902,-0.98589783,-0.97172607,-0.98198322,-0.999805,-0.99933118,-0.99957346,-0.025000919,-0.058018903,0.096857137,-0.98374256,-0.97222156,-0.96825362,-0.99984738,-0.99950428,-0.99936393,-0.10056691,-0.042566385,-0.068202093,-0.98825589,-0.98884853,-0.97809726
23,Standing,0.2601817,-0.023574513,-0.12946662,-0.9666756,-0.90703718,-0.83737762,-0.99924384,-0.99792917,-0.98550891,0.85931162,-0.17026591,-0.38251186,-0.96784058,-0.97229762,-0.92458101,0.63450223,-0.95526719,-0.70181049,0.089065704,0.0097507732,0.0069982709,-0.97203085,-0.96769586,-0.95507029,-0.9994205,-0.99917141,-0.99834108,0.050641444,-0.11555514,0.028970917,-0.87383189,-0.87956647,-0.87230234,-0.98862511,-0.9922846,-0.99072964,-0.078970404,-0.014436826,-0.078289081,-0.95383817,-0.94445055,-0.95958058
23,DownStairs,0.2648722,-0.041463724,-0.099119639,0.08151381,0.2351789,0.21005573,-0.4145502,-0.70491784,-0.34737332,0.94741858,-0.11206552,-0.17975378,-0.93652349,-0.93403063,-0.90934037,0.85766854,-0.98265873,-0.93167194,0.4729346,0.3524143,-0.22033281,0.25349485,-0.09006407,-0.02605782,-0.21214629,-0.58087372,-0.51828001,0.08264932,-0.062833,-0.020934615,-0.37887278,0.19497962,-0.18761566,-0.81612401,-0.29659856,-0.68981501,0.42371109,0.21356895,0.052217612,-0.28965834,0.15588687,-0.43639232
12,Standing,0.24095974,-0.07643803,-0.21856088,-0.95147559,-0.79097198,-0.93531783,-0.99835125,-0.98457686,-0.97932707,0.94304433,-0.28377622,0.025537233,-0.98189446,-0.92487363,-0.84120582,0.84609198,-0.86342328,-0.99809426,0.071662621,-0.048209579,0.017636812,-0.94053667,-0.89309454,-0.9713216,-0.99784091,-0.9932981,-0.99917027,-0.27942849,0.0082776449,0.12760971,-0.32682918,-0.81656088,-0.84857062,-0.75264773,-0.98185146,-0.98820835,0.28909143,-0.12210685,-0.067690632,-0.88488401,-0.9618823,-0.93980982
20,Standing,0.28801815,-0.0013009778,-0.075000286,-0.89617079,-0.77660776,-0.69120219,-0.99417608,-0.98922688,-0.95252286,0.86134235,-0.4396458,0.065404404,-0.97087556,-0.9427162,-0.91728813,0.63947379,-0.65693138,-0.99262671,0.053112168,0.0044885882,0.030134663,-0.85572616,-0.8506077,-0.88760761,-0.98869532,-0.98750655,-0.99211412,-0.03295505,-0.059300297,0.052585785,-0.76882774,-0.49023766,-0.80636957,-0.97533646,-0.87120982,-0.98157946,-0.13744069,-0.041336709,-0.037157856,-0.83477593,-0.73747999,-0.902989
6,Walking,0.17194263,0.00051947602,-0.10716313,-0.26860839,0.15798979,-0.39802276,-0.72899471,-0.74074294,-0.83410572,0.94568356,-0.2588491,0.035205506,-0.98047163,-0.95117714,-0.98057471,0.85297402,-0.88800344,-0.9982527,0.11117783,0.43704516,0.028720611,-0.18773877,-0.03462572,-0.36055254,-0.66743725,-0.52866092,-0.78912671,0.052035833,0.0037741512,0.038503913,-0.35955749,-0.22844885,-0.24503093,-0.80876845,-0.70502374,-0.73484037,-0.24204274,-0.33265947,0.58373489,0.20074231,-0.24298922,0.085503141
22,UpStairs,0.017831814,-0.058140421,-0.091077836,0.058913768,0.053060241,-0.12899765,-0.42511535,-0.78266736,-0.65793279,0.91109068,-0.32362609,-0.16303404,-0.86793425,-0.8210359,-0.92936358,0.76458638,-0.81768727,-0.9435223,0.24969783,0.098213443,0.15318235,-0.089140682,-0.21202084,-0.5532724,-0.58246164,-0.68491841,-0.89505713,-0.69736137,0.49596526,0.29551721,-0.59311985,-0.46981873,-0.22493717,-0.63663847,-0.80486114,-0.70467092,-0.05966802,-0.3044073,-0.25728874,-0.50956443,-0.72107415,-0.59677063
1,Laying,0.29230775,-0.00692865,-0.029339182,-0.96002148,-0.92420225,-0.65180555,-0.99899003,-0.99843131,-0.93316664,-0.28781038,0.9304777,-0.29007455,-0.98283265,-0.98231234,-0.90451583,-0.967909,0.73576832,-0.8266711,0.097062457,0.015139223,-0.014036984,-0.97367439,-0.98905769,-0.96475669,-0.99947507,-0.99983504,-0.99886672,-0.1288836,-0.04469618,0.16001907,-0.7960367,-0.97125841,-0.92667825,-0.97420436,-0.99936981,-0.99513791,-0.10959249,-0.046464394,-0.085147414,-0.93892043,-0.99160764,-0.96436197
9,UpStairs,0.18948124,-0.0094320591,-0.062515275,-0.24364092,-0.51235549,-0.083797974,-0.71112823,-0.95293076,-0.61959454,0.84116507,0.099994877,-0.4042844,-0.91872029,-0.87150522,-0.83904492,0.59058914,-0.97196566,-0.66654893,0.080144321,0.14055941,-0.13089855,-0.25592765,-0.63628084,-0.64386306,-0.72050674,-0.93093151,-0.93223324,-0.41088164,0.082298993,0.3457325,-0.26106068,-0.16976286,-0.35099772,-0.65689234,-0.65560295,-0.77836483,0.45581214,-0.4868289,-0.19061722,-0.59860913,-0.60974508,-0.62581399
2,DownStairs,0.31930656,-0.010016849,-0.16410108,0.056146545,0.11692947,-0.10045256,-0.44126497,-0.75908139,-0.63145106,0.87458102,-0.31998617,0.16192376,-0.96485673,-0.87683236,-0.80631951,0.67214226,-0.82311621,-0.95001703,0.02087211,-0.074017936,0.1804143,0.13705193,-0.0007098463,-0.39897622,-0.35141393,-0.49587234,-0.81312903,-0.03336123,-0.052667868,0.0639946,-0.56171997,-0.52766864,-0.22693622,-0.91208505,-0.88929239,-0.7227874,-0.017731312,-0.020320958,-0.066792333,-0.29113567,-0.49218321,-0.13578436
3,Laying,0.29067526,-0.06840145,0.0014106566,-0.93247349,-0.83451273,-0.81683295,-0.99740937,-0.98943681,-0.9650393,-0.16991791,0.90163872,0.35600268,-0.93293508,-0.84399149,-0.66058521,-0.91448235,0.63348814,-0.75209211,0.042788447,0.10136189,-0.090615307,-0.92140482,-0.92313231,-0.93694382,-0.99639746,-0.99630719,-0.99709779,0.12662237,0.13991714,0.47313209,-0.88585745,-0.92863973,-0.89811394,-0.97862462,-0.98942607,-0.93709726,-0.040819931,-0.070844445,-0.10729205,-0.9170302,-0.94692174,-0.95739855
25,Standing,0.27493892,-0.020217263,-0.11517216,-0.99351235,-0.93833345,-0.96935202,-0.99995016,-0.99902468,-0.99908421,0.9645019,-0.18572753,0.054203285,-0.98619389,-0.96439731,-0.98337275,0.90238955,-0.94569265,-0.99532044,0.073338036,0.019849034,-0.020039876,-0.99266763,-0.97413223,-0.98533263,-0.99992321,-0.99941871,-0.99967662,-0.061689309,-0.070706189,0.065756382,-0.97301734,-0.98461567,-0.96694209,-0.99888081,-0.9998421,-0.99919893,-0.10451373,-0.041862032,-0.037501845,-0.98236767,-0.99112935,-0.98543521
21,Laying,0.26372306,-0.018749377,-0.1049207,-0.94043559,-0.94337263,-0.93767639,-0.99794221,-0.99916949,-0.99739776,-0.1467963,0.60377597,0.78199346,-0.95271095,-0.98614958,-0.97288513,-0.90114885,-0.25398927,0.19209855,0.075058995,0.014478204,0.014989457,-0.98435894,-0.96042668,-0.98079982,-0.99977182,-0.99884248,-0.99953411,-0.027903493,-0.071783477,0.086712336,-0.96759683,-0.92424553,-0.98745977,-0.99946703,-0.99698939,-0.999876,-0.094691729,-0.042655909,-0.052905504,-0.9787998,-0.9798728,-0.99007747
10,Sitting,0.28143119,-0.018331094,-0.10958486,-0.99686389,-0.98718675,-0.99495532,-0.99997911,-0.99991705,-0.99992107,0.68190961,-0.57005934,0.32615267,-0.9978282,-0.99286753,-0.998656,0.22864665,-0.41222586,-0.79681153,0.075556316,0.010552058,-0.0007831835,-0.99454027,-0.99312633,-0.99494313,-0.99994791,-0.99991027,-0.99991262,-0.027892366,-0.073665561,0.091574668,-0.99935203,-0.99853086,-0.9922649,-0.99999924,-0.99999516,-0.99993003,-0.098702499,-0.04051098,-0.056762495,-0.99917028,-0.99822022,-0.99797564
29,Sitting,0.27656003,-0.016789952,-0.10615401,-0.9933113,-0.98287134,-0.98067604,-0.99994916,-0.99987829,-0.99955743,0.9080456,0.17309685,0.23678135,-0.99450814,-0.99349063,-0.98848017,0.75605782,-0.92949251,-0.89431658,0.072190994,0.015935113,0.0059689742,-0.99577828,-0.99460089,-0.99131233,-0.99996227,-0.99993339,-0.99983428,-0.027219618,-0.069963546,0.094366409,-0.99594921,-0.98647009,-0.98300276,-0.99998586,-0.99987215,-0.99977235,-0.10103792,-0.037884179,-0.059938823,-0.9980565,-0.99692403,-0.99612368
2,Walking,0.33806106,-0.0413713,-0.097384161,-0.42999883,-0.013674252,-0.39347137,-0.83548298,-0.81069862,-0.83148049,0.91654519,-0.35313681,0.024684898,-0.99155424,-0.98750442,-0.98013134,0.77771473,-0.78341858,-0.9992641,-0.080848349,-0.029468549,-0.27373084,-0.27728535,0.12847259,-0.61256004,-0.73609957,-0.35853765,-0.92022516,-0.024726295,-0.042791998,0.086489038,-0.6071415,-0.57557278,-0.49764339,-0.92930225,-0.91039288,-0.88229202,-0.024529084,-0.071434835,-0.039974388,-0.44021148,-0.71951016,-0.50435345
14,Walking,0.39809058,0.0044048093,-0.13830394,-0.29066285,0.0021134855,0.12113997,-0.74418848,-0.80490767,-0.43733977,0.77589693,-0.28499159,-0.45907316,-0.9637422,-0.97102788,-0.94622955,0.43650245,-0.86250674,-0.57280385,0.15958851,-0.1470964,-0.43439949,-0.29367733,-0.23360494,-0.42314611,-0.74787908,-0.70168617,-0.82729559,-0.019931105,-0.086272996,0.093368667,-0.62589478,0.046079527,-0.10413666,-0.93582579,-0.46062869,-0.62855314,-0.16785857,0.38186745,-0.16417783,-0.56531912,-0.46766243,-0.44439477
12,Sitting,0.27896431,-0.036611983,-0.11321281,-0.97653312,-0.75406531,-0.85448362,-0.99962504,-0.9869029,-0.98866852,0.97109568,0.0088864015,0.07065758,-0.99179748,-0.92220835,-0.94172891,0.91985562,-0.99817971,-0.99148343,0.092245069,-0.033193615,-0.10383744,-0.96442331,-0.91257489,-0.94821507,-0.99912858,-0.99536541,-0.99789856,-0.041567914,-0.1134236,0.13618383,-0.93534018,-0.93206797,-0.86179938,-0.99786624,-0.99729925,-0.98971722,-0.099960856,-0.061086275,-0.023806926,-0.94469225,-0.96201895,-0.95872575
23,Laying,0.2778192,-0.015024532,-0.10979976,-0.96042875,-0.97085989,-0.97945737,-0.99905157,-0.99971887,-0.99952214,-0.4058081,0.41412978,0.93258798,-0.97241666,-0.99223356,-0.98841719,-0.99560735,-0.63962866,0.69937822,0.07414488,0.014900499,0.0023248105,-0.98736983,-0.98944109,-0.98964356,-0.99983459,-0.99984283,-0.999794,-0.026742996,-0.068315358,0.086545368,-0.9838654,-0.96011243,-0.99756267,-0.99985343,-0.9991108,-0.99998729,-0.097855608,-0.043114055,-0.05362166,-0.98561811,-0.98486985,-0.99698342
24,Laying,0.29917771,-0.016926601,-0.10917537,-0.96337976,-0.98460879,-0.98368531,-0.99908206,-0.99989583,-0.99965356,-0.3239064,0.69351981,0.73019025,-0.9668416,-0.99453639,-0.98829276,-0.97906727,-0.023143758,0.038298187,0.074851776,0.012529568,0.0056201617,-0.9913835,-0.98474283,-0.99547137,-0.9999043,-0.99973745,-0.99992287,-0.027824753,-0.081374812,0.085296619,-0.989305,-0.95531896,-0.99684721,-0.99992979,-0.99889737,-0.99998209,-0.099078396,-0.038359528,-0.054639148,-0.98545258,-0.98652283,-0.99602633
6,Sitting,0.27619458,-0.023912304,-0.10031039,-0.98112332,-0.94861138,-0.94897957,-0.99974145,-0.99921895,-0.99804077,0.96079985,-0.086463781,-0.16415718,-0.99903408,-0.99791168,-0.98486686,0.89260639,-0.9909792,-0.94298346,0.073722873,0.0085012296,0.01357874,-0.96798351,-0.95803875,-0.95553282,-0.99927305,-0.99872303,-0.99836808,-0.028017444,-0.070980589,0.099909775,-0.96999064,-0.94849721,-0.96119035,-0.99953899,-0.99856459,-0.99907791,-0.092090705,-0.032096671,-0.049206039,-0.95179989,-0.95681904,-0.97048139
